dates;A
01.07.2005;0.000149305549589513
05.07.2005;0.000146206690759986
06.07.2005;0.000168206090461059
07.07.2005;0.000209619817273294
08.07.2005;0.000146411002004457
11.07.2005;0.00023356869001678
12.07.2005;0.00124616613507456
13.07.2005;9.59227271783463e-05
14.07.2005;0.000193719688659974
15.07.2005;0.000141789757146339
18.07.2005;7.30540828635489e-05
19.07.2005;9.95976264245501e-05
20.07.2005;0.000182675034085179
21.07.2005;9.78538510133354e-05
22.07.2005;0.000140776478263325
25.07.2005;0.00011743100759153
26.07.2005;0.000148467241936667
27.07.2005;0.000190670657293846
28.07.2005;9.26323168734789e-05
29.07.2005;9.19158902701105e-05
01.08.2005;0.000157228438499188
02.08.2005;0.000114854702092295
03.08.2005;0.000173746786482064
04.08.2005;0.000100253583301348
05.08.2005;0.000100697106938941
08.08.2005;0.000142487240415605
09.08.2005;0.000152811074511635
10.08.2005;0.000125088964272716
11.08.2005;0.000302771647771094
12.08.2005;0.000124207983714174
15.08.2005;0.00085026040898603
16.08.2005;0.000313134638550499
17.08.2005;0.000139067225920864
18.08.2005;9.85030085737944e-05
19.08.2005;4.43894232229989e-05
22.08.2005;0.000106366406060749
23.08.2005;8.85529484005422e-05
24.08.2005;0.000189621790106611
25.08.2005;0.000197620391973501
26.08.2005;0.000156503209948745
29.08.2005;0.000119943439713788
30.08.2005;0.000146794831186102
31.08.2005;0.000133354447459017
01.09.2005;0.000182099192893886
02.09.2005;6.55005037915816e-05
06.09.2005;8.42379363072177e-05
07.09.2005;4.9042789315365e-05
08.09.2005;7.24095263439598e-05
09.09.2005;6.42539426445513e-05
12.09.2005;0.000188693446841294
13.09.2005;6.35807136479663e-05
15.09.2005;7.68481897028911e-05
16.09.2005;0.000227872529966792
19.09.2005;7.87676616882325e-05
20.09.2005;0.00011348354951514
21.09.2005;0.0001429427173656
22.09.2005;0.000114389184201695
23.09.2005;0.000121086446206106
26.09.2005;9.71416115999296e-05
27.09.2005;5.98288397094777e-05
28.09.2005;0.000126405572196086
29.09.2005;0.000275281625140591
30.09.2005;7.69621525205882e-05
03.10.2005;0.000129145647628004
04.10.2005;0.000129580753317724
05.10.2005;0.000204734164390463
06.10.2005;0.000234622368211432
07.10.2005;0.000242189400820728
10.10.2005;0.000141506295305329
11.10.2005;0.000146022709077997
12.10.2005;0.000291376304792531
13.10.2005;0.000250702779208017
14.10.2005;0.000219088214817449
17.10.2005;0.000151737497743924
18.10.2005;0.000153246416875971
19.10.2005;0.000219227345516485
20.10.2005;0.000173312038000211
21.10.2005;0.000209858813917997
24.10.2005;0.000157098915072333
25.10.2005;9.27030075891446e-05
26.10.2005;0.00012048505930326
27.10.2005;0.000184699276131891
28.10.2005;0.000228896406990262
31.10.2005;0.000280531357950743
01.11.2005;0.000366235987822283
02.11.2005;0.000115408793396205
03.11.2005;0.000138565074731436
04.11.2005;9.27077527677576e-05
07.11.2005;9.77586689172636e-05
08.11.2005;5.32376390403545e-05
09.11.2005;9.77954625735988e-05
10.11.2005;0.00010313244595665
11.11.2005;0.000117198425015495
14.11.2005;0.000168076185738059
15.11.2005;0.00013754380612114
16.11.2005;7.83464141650888e-05
17.11.2005;7.22324462077274e-05
18.11.2005;9.02076459598278e-05
21.11.2005;7.10449727070684e-05
